時間,標題,連結
2022-02-01 23:46,美勞工部：12月職位空缺數比未就業勞工多出460萬個,https://news.cnyes.com/news/id/4809518
2022-02-01 22:02,元宇宙房產銷售額去年達5億美元 今年可望翻倍成長,https://news.cnyes.com/news/id/4809517
2022-02-01 21:31,〈財報〉油氣價格飆升 埃克森美孚上季獲利超越預期 將開始回購股票,https://news.cnyes.com/news/id/4809515
2022-02-01 21:14,〈財報〉UPS上季獲利創新高 對2022年展望樂觀,https://news.cnyes.com/news/id/4809514
2022-02-01 21:05,聯準會今年會升息幾次？市場預測從3次到7次不等,https://news.cnyes.com/news/id/4809513
2022-02-01 20:12,AT&T以430億美元併購Discovery 將分拆WarnerMedia與其合併,https://news.cnyes.com/news/id/4809512
2022-02-01 19:44,剎車功能偏差 NHTSA：特斯拉將在美國召回53822輛電動車,https://news.cnyes.com/news/id/4809510
2022-02-01 19:28,傳Meta收購希臘音頻應用開發商Accusonus,https://news.cnyes.com/news/id/4809509
2022-02-01 18:30,〈虎年企業加薪留才〉聯發科、聯詠因應新領域獵數千位人才 調薪、員工福利不手軟,https://news.cnyes.com/news/id/4809105
2022-02-01 18:00,〈虎年企業加薪留才〉服務業大缺工 四大餐飲集團加薪+釋出近4000個職缺,https://news.cnyes.com/news/id/4809085
2022-02-01 17:00,〈虎年企業加薪留才〉搶不贏科技大廠 工具機業今年加薪10%優於往年,https://news.cnyes.com/news/id/4809019
2022-02-01 16:00,〈虎年企業加薪留才〉成衣雙雄分享營運成果 年年加薪不手軟,https://news.cnyes.com/news/id/4808931
2022-02-01 15:00,〈虎年企業加薪留才〉公股銀強化戰力 年後釋出逾3000名職缺爭取高手助陣,https://news.cnyes.com/news/id/4808736
2022-02-01 14:00,〈虎年企業加薪留才〉品牌雙A搶各路好手 宏碁今年推員工持股信託福利,https://news.cnyes.com/news/id/4808734
2022-02-01 13:00,〈虎年企業加薪留才〉元宇宙商機熱 宏達電擴大VR布局 招聘逾百名人才,https://news.cnyes.com/news/id/4807570
2022-02-01 12:30,〈虎年企業加薪留才〉房市熱房仲業徵才搶商機 信義還要百名數位科技人才,https://news.cnyes.com/news/id/4808267
2022-02-01 12:29,環球晶收購世創破局 須支付15.6億元交易終止費,https://news.cnyes.com/news/id/4809502
2022-02-01 12:15,〈紐約匯市〉英、歐央行會議將召開 美元回落 歐元和英鎊走強,https://news.cnyes.com/news/id/4809488
2022-02-01 12:00,〈虎年企業加薪留才〉上海商銀調薪4% 台新金最高可望加薪15%,https://news.cnyes.com/news/id/4807784
2022-02-01 10:00,元宇宙揭開搶人才大戰序幕 盤點金虎年五大熱門產業職務,https://news.cnyes.com/news/id/4808223
2022-02-01 09:21,遊戲版圖風雲變色！索尼出手買下《天命》開發商Bungie,https://news.cnyes.com/news/id/4809487
2022-02-01 07:32,〈美股盤後〉特斯拉飆逾10% 標普收紅但仍創2020年3月來最糟單月表現,https://news.cnyes.com/news/id/4809475
2022-02-02 23:43,烏克蘭危機升溫 美國終於動手 調動3000軍人就近駐紮,https://news.cnyes.com/news/id/4809551
2022-02-02 23:05,力抗美印壓力 OPEC+同意3月每天增產40萬桶原油,https://news.cnyes.com/news/id/4809550
2022-02-02 21:49,Omicron橫掃就業市場 ADP 1月就業報告1年多來首度出現衰退,https://news.cnyes.com/news/id/4809547
2022-02-02 21:04,非農就業報告尚未發布 美國官員已先為市場打預防針,https://news.cnyes.com/news/id/4809545
