時間,標題,連結
2021-04-01 23:41,港建前2月純益年增76% EPS為0.84元,https://news.cnyes.com/news/id/4623541
2021-04-01 23:40,第一季交車年增逾4倍 蔚來小鵬跳漲慶賀,https://news.cnyes.com/news/id/4623533
2021-04-01 23:22,Emergent 暴跌！嬌生約1500萬劑新冠疫苗全報廢,https://news.cnyes.com/news/id/4623539
2021-04-01 23:01,美國3月ISM製造業PMI飆至37年新高 供應鏈困局仍存,https://news.cnyes.com/news/id/4623527
2021-04-01 22:30,〈觀察〉迎接營運高成長 台積電砸千億美元擴產釋出三個重要訊息,https://news.cnyes.com/news/id/4623515
2021-04-01 21:54,〈美股早盤〉Q2開門紅！標普500指數首度站上4000大關、台積電ADR飆逾4%,https://news.cnyes.com/news/id/4623305
2021-04-01 21:01,改列全額交割股 台開：將加速處分資產並取得融資協助,https://news.cnyes.com/news/id/4623513
2021-04-01 21:01,歐洲經濟有望？Q2疫苗接種進度趨樂觀,https://news.cnyes.com/news/id/4623439
2021-04-01 20:54,壽險、券商前2月減碼台股逾610億元 金融三業可加碼銀彈逾8.3兆元,https://news.cnyes.com/news/id/4623507
2021-04-01 20:42,美國上周初領失業金升至近72萬人 高於預期,https://news.cnyes.com/news/id/4623476
2021-04-01 20:40,〈台積電大擴產〉砸千億美元擴廠 設備業者迎高速成長期,https://news.cnyes.com/news/id/4623477
2021-04-01 20:30,LCD及DRAM輪流大漲 透露Q2選股方向,https://news.cnyes.com/news/id/4623303
2021-04-01 20:10,台幣節前量縮陷橫盤整理 連2貶收28.533元,https://news.cnyes.com/news/id/4623471
2021-04-01 20:05,媒體：中芯國際4月1日起調漲代工價格 含已下單未上線訂單,https://news.cnyes.com/news/id/4623492
2021-04-01 20:00,美元指數強升  四月潛力股搶先看,https://news.cnyes.com/news/id/4623265
2021-04-01 19:58,4/7起永利聯合停止交易 天蔥、系通打入全額交割,https://news.cnyes.com/news/id/4623497
2021-04-01 19:46,神基2月純益年增16.4倍 EPS 0.15元,https://news.cnyes.com/news/id/4623481
2021-04-01 19:41,台新金併保德信人壽資金規劃不足 再遭金管會要求補件,https://news.cnyes.com/news/id/4623475
2021-04-01 19:36,〈美股盤前要聞〉拜登基建計畫出台 美股期貨上揚,https://news.cnyes.com/news/id/4623341
2021-04-01 19:27,旗艦基金、太空ETF熱度高 方舟投資單日吸金近10億美元,https://news.cnyes.com/news/id/4623405
2021-04-01 19:26,國巨取得私募基金股權 聚焦電動車固態電池,https://news.cnyes.com/news/id/4623474
2021-04-01 19:22,美光財測報佳音 南亞科、華邦電展望同看俏,https://news.cnyes.com/news/id/4623470
2021-04-01 19:18,圓點奈米去年大賺近3股本 EPS 32.58元 擬配息15元,https://news.cnyes.com/news/id/4623438
2021-04-01 19:13,券商4月底前須自評公平待客原則 今年評核新增顯著進步獎,https://news.cnyes.com/news/id/4623469
2021-04-01 19:02,鈞泰、淘帝7日起停止交易 台開列全額交割,https://news.cnyes.com/news/id/4623436
2021-04-01 18:44,健鼎Q1營收將挑戰150億元創同期新高 全年上看600億元,https://news.cnyes.com/news/id/4623408
2021-04-01 18:41,慧智基因強化癌症醫療布局 推子宮內膜癌檢測,https://news.cnyes.com/news/id/4623397
2021-04-01 18:41,〈車市〉3月掛牌衝破4.3萬台創16年同期高 福特拿首季成長王,https://news.cnyes.com/news/id/4623390
2021-04-01 18:39,淘帝-KY未如期繳交去年財報 4月7日起停止買賣,https://news.cnyes.com/news/id/4623404
2021-04-01 18:38,友達再砸3.31億元加碼富采投控 持股攀升至8.08%,https://news.cnyes.com/news/id/4623392
2021-04-01 18:38,〈房產〉全台六都首季房屋交易量6.22萬棟 年增16.5% 創10年同期新高,https://news.cnyes.com/news/id/4623389
2021-04-01 18:27,SIA：半導體供應鏈過度集中 更容易受天災與地緣政治衝擊,https://news.cnyes.com/news/id/4623342
2021-04-01 18:18,外資轉買加碼台積電、記憶體三雄 大砍面板族群,https://news.cnyes.com/news/id/4623354
2021-04-01 17:56,ARK每日追蹤：大買京東、拼多多、Shopify 再賣Paypal,https://news.cnyes.com/news/id/4623385
2021-04-01 17:52,強化數位科技與電商 永豐餘工紙由邱創華新任董事長,https://news.cnyes.com/news/id/4623388
2021-04-01 17:51,新唐2月稅後虧0.44億元 每股虧0.11元,https://news.cnyes.com/news/id/4623387
2021-04-01 17:50,好幸運！8名消費者叫外送對中百萬發票獎金,https://news.cnyes.com/news/id/4623350
2021-04-01 17:49,永豐餘董事會何壽川家族全面退出 交棒專業經理人,https://news.cnyes.com/news/id/4623355
2021-04-01 17:47,偉詮電2月純益年增15倍 EPS 0.37元,https://news.cnyes.com/news/id/4623346
2021-04-01 17:40,〈東華拚轉型〉竹北廠區閒置土地價值逾10億元 將推動資產活化,https://news.cnyes.com/news/id/4623339
2021-04-01 17:30,南韓3月出口額連續第5個月上升 經濟復甦有望進一步加速,https://news.cnyes.com/news/id/4623237
2021-04-01 17:25,閎暉2月純益年增逾1倍 每股賺0.07元,https://news.cnyes.com/news/id/4623340
2021-04-01 17:24,茂達前2月獲利年增88% 每股賺1.55元 超越去年首季,https://news.cnyes.com/news/id/4623335
2021-04-01 17:22,高雄水情進入橙燈 工業用戶減量供水7%,https://news.cnyes.com/news/id/4623299
2021-04-01 17:21,潤弘精密2月稅後純益9700萬元 年增3.21倍 EPS 0.68元,https://news.cnyes.com/news/id/4623331
2021-04-01 17:20,OPEC+會議前美國致電沙國 要求確保能源價格可負擔,https://news.cnyes.com/news/id/4623333
2021-04-01 17:19,〈美德醫展望〉新舊海外客戶訂單能見度高 全年營運拚維持去年,https://news.cnyes.com/news/id/4623298
2021-04-01 17:03,Google攜手南韓Kakao 在叫車、地圖等服務合作,https://news.cnyes.com/news/id/4623266
2021-04-01 16:55,解密置產族佈局新趨勢 現享機能再賺增值,https://news.cnyes.com/news/id/4623297
2021-04-01 16:52,亞泥子公司亞泥中國去年財報延後公布 在港交所停牌,https://news.cnyes.com/news/id/4623277
2021-04-01 16:50,凱投宏觀：金價難擺脫債券殖利率打擊 年底料再跌100美元,https://news.cnyes.com/news/id/4623276
2021-04-01 16:48,弘憶股證實向客戶漲價 部分訂單已看至年底,https://news.cnyes.com/news/id/4623274
2021-04-01 16:46,〈美德醫展望〉布局後疫情時代 推抗病毒全新品牌,https://news.cnyes.com/news/id/4623273
2021-04-01 16:30,GMO分析師：Archegos爆倉危機表明市場過熱,https://news.cnyes.com/news/id/4623234
2021-04-01 16:20,迎戰軍規級Apple Watch？卡西歐推首款採Wear OS的G-SHOCK,https://news.cnyes.com/news/id/4623191
2021-04-01 16:10,〈拜登擴大基建〉除了基建 電動車、寬頻均有望由2兆美元計畫中受益,https://news.cnyes.com/news/id/4623151
2021-04-01 16:02,漢民員工證實染疫 全台廠區啟動自主健康管理,https://news.cnyes.com/news/id/4623263
2021-04-01 15:50,華為業績創新高 為何年增率卻寫10年最低？,https://news.cnyes.com/news/id/4623231
2021-04-01 15:47,華新科庫藏股5個交易日達陣 買回均價251.84元,https://news.cnyes.com/news/id/4623239
2021-04-01 15:44,穩懋向南科管理局承租土地20年 啟動新廠布局,https://news.cnyes.com/news/id/4623236
2021-04-01 15:30,亞馬遜：遠距工作預計秋季結束 在辦公室工作最具效率,https://news.cnyes.com/news/id/4623139
2021-04-01 15:25,【鍾國忠專欄】台股Q1類股表現第一是他！本季留意兩大重點,https://news.cnyes.com/news/id/4623186
2021-04-01 15:17,〈台積電大擴產〉公司證實 未來3年將砸千億美元擴產,https://news.cnyes.com/news/id/4623228
2021-04-01 15:15,〈長榮法說〉5月換約漲幅大 看塞港市況將延續至Q3,https://news.cnyes.com/news/id/4623195
2021-04-01 15:06,殖利率不斷攀升 美債投資人恐面臨近41年來最慘重損失,https://news.cnyes.com/news/id/4623061
2021-04-01 15:04,〈東華拚轉型〉亞克力棉連年虧損 即日起停產影響9成營收,https://news.cnyes.com/news/id/4623190
2021-04-01 15:03,台股觸及16600點締新猷 外資回補逾百億 三大法人買超174.31億元,https://news.cnyes.com/news/id/4623150
2021-04-01 15:01,〈長榮法說〉卡運河事件無重大影響 估歐洲線缺櫃塞港持續,https://news.cnyes.com/news/id/4623178
2021-04-01 14:55,〈拜登擴大基建〉美國商業團體支持基建方案 但強烈反對加稅,https://news.cnyes.com/news/id/4623188
2021-04-01 14:49,期富邦VIX跌破2元 下市警鐘再響,https://news.cnyes.com/news/id/4623179
2021-04-01 14:48,〈富邦金併日盛成局〉日盛金高層賣股、內部低迷 老董喊話籲員工堅守崗位,https://news.cnyes.com/news/id/4623175
2021-04-01 14:47,〈台股盤後〉台積電回神助攻 漲百點收16571點周線連二紅,https://news.cnyes.com/news/id/4623153
2021-04-01 14:23,全球今年第一季併購交易額額年增93% 創單季歷史第二新高,https://news.cnyes.com/news/id/4623133
2021-04-01 14:05,美財長葉倫：將重啟工作小組 加強監管避險基金,https://news.cnyes.com/news/id/4623141
2021-04-01 13:59,美元占全球外匯存底比率連三季下滑 25年來最低,https://news.cnyes.com/news/id/4623031
2021-04-01 13:41,台股漲140點收16571點 盤中、收盤雙寫新高 周線連2紅,https://news.cnyes.com/news/id/4623145
2021-04-01 13:23,〈焦點股〉美光財測報喜 南亞科逼近漲停價叩關百元,https://news.cnyes.com/news/id/4623140
2021-04-01 13:20,蘋果混合實境穿戴設備有望於今年中推出 實體活動發布機率大,https://news.cnyes.com/news/id/4622962
2021-04-01 13:08,美中交惡逼急波音 執行長坐不住出面向政府喊話,https://news.cnyes.com/news/id/4622971
2021-04-01 13:03,寶徠送件擬發公司債籌資3億元 償還銀行借款,https://news.cnyes.com/news/id/4623131
2021-04-01 13:02,〈拜登擴大基建〉美國廣設50萬座電動車充電站 概念股樂 但實行面臨荊棘,https://news.cnyes.com/news/id/4622963
2021-04-01 12:57,〈長榮貨輪卡蘇伊士〉英國保險組織勞合社恐損失超過1億美元,https://news.cnyes.com/news/id/4623026
2021-04-01 12:46,4檔5G ETF強強滾 00881挾國家隊優勢狂吸33萬受益人,https://news.cnyes.com/news/id/4623128
2021-04-01 12:45,公股銀螺絲掉滿地 財長致歉允諾強化管理,https://news.cnyes.com/news/id/4623126
2021-04-01 12:44,傳台積電魏哲家發信 暫停明年晶圓價格折讓、斥千億美元擴產,https://news.cnyes.com/news/id/4623121
2021-04-01 12:36,〈房產〉北台灣新建案市場3月旺季不旺 住展風向球仍亮黃藍燈,https://news.cnyes.com/news/id/4623120
2021-04-01 12:33,1-2月期統一發票開出16張千萬元特別獎 有人只花23元買飲料就中獎,https://news.cnyes.com/news/id/4623123
2021-04-01 12:32,〈瑞軒展望〉越南二廠完工啟用 今年本業拚轉盈,https://news.cnyes.com/news/id/4623104
2021-04-01 12:25,通膨壓力升？金百利克拉克宣布衛生紙6月漲價 其他大廠可能跟進,https://news.cnyes.com/news/id/4622967
2021-04-01 12:05,〈新股IPO〉線上學習平台Coursera掛牌首日上漲36% 市值達59億美元,https://news.cnyes.com/news/id/4622972
2021-04-01 11:40,蘋果將向特斯拉採購85座大型電池 用於加州太陽能計畫,https://news.cnyes.com/news/id/4623062
2021-04-01 11:33,〈瑞軒展望〉陪伴機器人熱銷 今年出貨看增六成上看萬台,https://news.cnyes.com/news/id/4623102
2021-04-01 11:31,4月新制上路 台帛旅遊泡泡、中部水情亮紅燈、外幣融資買股,https://news.cnyes.com/news/id/4623095
2021-04-01 11:25,日本3月製造業PMI小幅回升 今後12個月的產出看法樂觀,https://news.cnyes.com/news/id/4623024
2021-04-01 11:25,疫苗激勵多頭續航 勞動基金2月賺668億元,https://news.cnyes.com/news/id/4623098
2021-04-01 11:24,3月製造業PMI連2跌 三大調查指數仍創新高,https://news.cnyes.com/news/id/4623096
2021-04-01 11:22,〈拜登擴大基建〉規模再擴大 東元、華新迎商機,https://news.cnyes.com/news/id/4623094
2021-04-01 11:20,晶技估Q1營收跨越33億元 年增逾5成,https://news.cnyes.com/news/id/4623084
2021-04-01 11:03,〈台股盤中〉台積電領軍衝鋒 漲逾百點衝上16602點 改寫歷史新高,https://news.cnyes.com/news/id/4623083
2021-04-01 10:40,建商掃貨 Q1中國50城土地銷售破7000億人民幣 創新高,https://news.cnyes.com/news/id/4623038
2021-04-01 10:35,"嬌生代工廠出包 1,500萬劑新冠疫苗恐受影響",https://news.cnyes.com/news/id/4623002
2021-04-01 10:30,〈台帛旅遊泡泡啟動〉華航4月起飛航 視需求調整機型和班次,https://news.cnyes.com/news/id/4623037
2021-04-01 10:29,現在不該下車的關鍵理由,https://news.cnyes.com/news/id/4623043
2021-04-01 10:27,防疫需求炒熱線上消費 投信看好雲端服務可望沾光,https://news.cnyes.com/news/id/4623063
2021-04-01 10:20,3月日本央行短觀改善 大企業製造業景氣回到疫情前水準,https://news.cnyes.com/news/id/4623025
2021-04-01 10:15,財新中國3月份製造業PMI下滑至50.6 不如預期,https://news.cnyes.com/news/id/4622987
2021-04-01 10:07,〈拜登擴大基建〉美國2.25兆美元基建計畫內容揭曉 一文掌握,https://news.cnyes.com/news/id/4622976
2021-04-01 09:48,Zoom觸頂後近腰斬 分析師仍喊賣﹔負面外部因素太多,https://news.cnyes.com/news/id/4622970
2021-04-01 09:19,Counterpoint：2020年三星穩坐全球智慧手機出貨王座 蘋果排第二,https://news.cnyes.com/news/id/4622988
2021-04-01 09:08,〈拜登擴大基建〉目標全美網路覆蓋率100%！拜登規劃1000億美元高速網路計畫,https://news.cnyes.com/news/id/4622979
2021-04-01 08:36,iCar信徒+1！瑞銀喊買蘋果：10年後都是電動車 蘋果市占至少5%,https://news.cnyes.com/news/id/4622968
2021-04-01 08:31,〈美股熱門股〉 應材、科林齊揚 鋰電池新創QS獲福斯投資大漲14%,https://news.cnyes.com/news/id/4622961
2021-04-01 08:19,〈台股盤前〉清明連假前夕觀望氛圍濃 上檔仍有一定壓力,https://news.cnyes.com/news/id/4622986
2021-04-01 07:50,盤前財經大事搶先讀2021年04月01日,https://news.cnyes.com/news/id/4622984
2021-04-01 07:46,WSJ：美光、威騰皆有意收購鎧俠 潛在估值上看300億美元,https://news.cnyes.com/news/id/4622978
2021-04-01 07:29,〈財報〉記憶體需求旺、報價續漲 美光財測遠勝預期 盤後勁揚3.8%,https://news.cnyes.com/news/id/4622965
2021-04-01 07:17,微軟奪大單 美軍採購AR頭戴裝置金額上看220億美元,https://news.cnyes.com/news/id/4622960
2021-04-01 06:31,對抗第三波疫情 法國實施新一輪全國封鎖、學校停課,https://news.cnyes.com/news/id/4622969
2021-04-01 06:23,〈能源盤後〉復甦環境未朗 原油逆轉收低 但本季漲逾20%,https://news.cnyes.com/news/id/4622964
2021-04-01 06:23,印度擬祭10億美元獎勵措施 向晶片製造商招手,https://news.cnyes.com/news/id/4622975
2021-04-01 06:17,〈貴金屬盤後〉黃金回神收高 第1季仍跌9.5% 逾四年最大跌幅,https://news.cnyes.com/news/id/4622958
2021-04-01 05:45,〈紐約匯市〉美元指數收高 第1季漲3.5% 兩年多來最強漲幅,https://news.cnyes.com/news/id/4622959
2021-04-01 05:40,〈台股盤前要聞〉富邦金配息上看3元、亞翔奪桃機航廈大單 今日必看財經新聞,https://news.cnyes.com/news/id/4622945
2021-04-01 05:39,〈美股盤後〉拜登逾2兆美元基建藍圖浮現 費半漲逾2.6%,https://news.cnyes.com/news/id/4622922
2021-04-01 04:50,【袁志峰專欄】基本因素正面，港股可追落後,https://news.cnyes.com/news/id/4622966
2021-04-01 03:17,完美風暴來襲！車用晶片供應第四季才能緩解,https://news.cnyes.com/news/id/4622946
2021-04-01 02:42,WTO上調預測 2021全球貨物貿易量成長8%,https://news.cnyes.com/news/id/4622947
