時間,標題,連結
2020-04-01 23:43,疫情衝擊全球製造業 各國PMI創金融海嘯來最差,https://news.cnyes.com/news/id/4460119
2020-04-01 23:41,近12年最大外資出走潮！3月外資狂賣333億美元亞股,https://news.cnyes.com/news/id/4460202
2020-04-01 22:38,3月ISM製造業PMI跌入收縮 新訂單、僱傭指數創11年最快速度下滑,https://news.cnyes.com/news/id/4460246
2020-04-01 22:21,〈墨西哥緊急狀態〉鴻海等電子廠未收到停工通知 當地工廠維持正常營運,https://news.cnyes.com/news/id/4460237
2020-04-01 22:14,去年股債雙漲幫大忙 兆豐銀投資收益大賺177億元、年增64%,https://news.cnyes.com/news/id/4460254
2020-04-01 22:11,遭控舉債持永豐金 永豐餘痛批惡意扭曲,https://news.cnyes.com/news/id/4460252
2020-04-01 22:11,鴻海：客戶新機可望如期趕上6月試產,https://news.cnyes.com/news/id/4460247
2020-04-01 22:06,〈美股早盤〉ADP新增就業衰退+製造業PMI下滑 道瓊早盤跌逾700點,https://news.cnyes.com/news/id/4460232
2020-04-01 22:00,日本經濟刺激已達史上最高5550億美元 安倍還可能加碼,https://news.cnyes.com/news/id/4459945
2020-04-01 21:40,霍華馬克斯：市場便宜得多 投資者可以「適度購買」,https://news.cnyes.com/news/id/4460038
2020-04-01 21:32,渣打：疫情蔓延留意三大風險蠢動 金價Q2上看1750美元,https://news.cnyes.com/news/id/4460239
2020-04-01 21:12,實行大規模封鎖前 美國3月ADP「小非農」新增就業減2.7萬人,https://news.cnyes.com/news/id/4460227
2020-04-01 21:00,商品大王羅傑斯：預計未來幾年恐將看到「一生最糟糕的熊市」,https://news.cnyes.com/news/id/4459947
2020-04-01 20:40,疫情衝擊 標普：今年全球經濟成長恐將趨近零,https://news.cnyes.com/news/id/4459948
2020-04-01 20:20,〈每日外資外匯觀點〉美元荒紓解 想再大幅上漲不易,https://news.cnyes.com/news/id/4459976
2020-04-01 20:11,〈東元防堵寶佳〉大文配翻版 東元擁三大誘因吸引寶佳集團積極插旗,https://news.cnyes.com/news/id/4460212
2020-04-01 20:06,〈墨西哥緊急狀態〉年興墨西哥廠配合當地防疫停工至4/30 影響營收約25%,https://news.cnyes.com/news/id/4460214
2020-04-01 20:00,利空不斷 IATA：全球航空業預計Q2虧損390億美元,https://news.cnyes.com/news/id/4459996
2020-04-01 19:54,4/7起恩得利停止交易 南璋、兆遠列全額交割股,https://news.cnyes.com/news/id/4460213
2020-04-01 19:52,外資連假前逆勢大舉加碼面板股 調節金融、傳產指標股,https://news.cnyes.com/news/id/4460208
2020-04-01 19:51,疫情衝擊 國際中橡美、印度廠接連停工 Q2營運雪上加霜,https://news.cnyes.com/news/id/4460203
2020-04-01 19:40,展望油價戰爭後 高盛：美頁岩油將在油災中崛起成贏家,https://news.cnyes.com/news/id/4460030
2020-04-01 19:26,4/7起東貝停止買賣 新世紀、誠美材恢復交易,https://news.cnyes.com/news/id/4460201
2020-04-01 19:20,伊朗總統：美國錯過了解除伊朗制裁的好機會,https://news.cnyes.com/news/id/4459968
2020-04-01 19:19,泛歐Stoxx 600今年跌逾23% 創18年最糟季度表現,https://news.cnyes.com/news/id/4460157
2020-04-01 19:06,立積3月營收達3億元 較去年倍增 創歷史次高,https://news.cnyes.com/news/id/4460196
2020-04-01 19:01,〈墨西哥緊急狀態〉宏和墨西哥廠配合防疫停工至4/30 影響逾四成營收,https://news.cnyes.com/news/id/4460194
2020-04-01 18:47,和勤精機產線100%復工 3月營收彈升達1.49億元 月增86%,https://news.cnyes.com/news/id/4460160
2020-04-01 18:44,過去一年 上櫃公司有3家庫藏股執行率低於5成,https://news.cnyes.com/news/id/4460172
2020-04-01 18:35,遠航案涉掏空 張綱維800萬元交保遭高院撤銷發回,https://news.cnyes.com/news/id/4460171
2020-04-01 18:34,湯石照明祭1000張庫藏股護盤 執行率已達82%,https://news.cnyes.com/news/id/4460170
2020-04-01 18:33,〈東元防堵寶佳〉東元擬辦理私募擴充股本 估寶佳持股比降至18%,https://news.cnyes.com/news/id/4460159
2020-04-01 17:59,利變壽險史上最大降息潮 十大壽險破千張保單砍宣告利率,https://news.cnyes.com/news/id/4460156
2020-04-01 17:58,沙國產油飆破每日1200萬桶+API庫存超預期 布油盤中一度跌破25美元,https://news.cnyes.com/news/id/4460122
2020-04-01 17:44,【胡一帆專欄】低油價、低利率對亞洲是喜還是憂？,https://news.cnyes.com/news/id/4459995
2020-04-01 17:37,〈房產〉3月六都買賣移轉棟數雙增 桃園市表現最亮眼,https://news.cnyes.com/news/id/4460124
2020-04-01 17:23,歐買尬前2月純益年增7.39倍 每股賺0.3元,https://news.cnyes.com/news/id/4460123
2020-04-01 17:22,百德因組織改造轉型精簡人事 產銷營運正常,https://news.cnyes.com/news/id/4460105
2020-04-01 17:20,〈勞動基金大虧〉疫情失控投資難度大增 勞金局示警：上半年難樂觀,https://news.cnyes.com/news/id/4460085
2020-04-01 17:17,大立光下周開法說 關注生產復原及鏡頭升級等三大重點,https://news.cnyes.com/news/id/4460082
2020-04-01 17:11,無薪假飆至7916人 創8年新高 住宿及餐飲業成重災區,https://news.cnyes.com/news/id/4460078
2020-04-01 16:44,〈陸股盤後〉英國恐重現金融海嘯時期政策 陸股受累收黑,https://news.cnyes.com/news/id/4460039
2020-04-01 16:39,疫情干擾 國碩現增延期三個月,https://news.cnyes.com/news/id/4460076
2020-04-01 16:32,宅經濟發威 宏碁電競桌機2月奪下泛歐市場銷售冠軍,https://news.cnyes.com/news/id/4460074
2020-04-01 16:31,宇瞻積極調整產線 滿足醫療設備客戶需求,https://news.cnyes.com/news/id/4460072
2020-04-01 16:31,孩子報完戶口即可投保 兒童保單規畫三部曲,https://news.cnyes.com/news/id/4460062
2020-04-01 16:30,搶抗疫商機 佐登、翔宇推保健品添營運柴火,https://news.cnyes.com/news/id/4460055
2020-04-01 16:27,大型展演多集中下半年 寬宏藝術受疫情影響有限,https://news.cnyes.com/news/id/4460054
2020-04-01 16:27,子女教育金面臨四大擔憂 銀行建議三大心法財務規劃,https://news.cnyes.com/news/id/4460053
2020-04-01 16:24,全球金融業股利停發潮將至？ 匯豐股價崩創09年來新低,https://news.cnyes.com/news/id/4460032
2020-04-01 15:37,均豪前2月虧損擴大 每股虧0.26元,https://news.cnyes.com/news/id/4460037
2020-04-01 15:36,〈新冠肺炎疫情〉防疫旅館每房每日補助1000元 嗅、味覺異常者納採檢,https://news.cnyes.com/news/id/4460034
2020-04-01 15:35,經部編列1.65億元補助餐飲業導入外送 估1.1萬家受惠,https://news.cnyes.com/news/id/4460021
2020-04-01 15:34,台灣大攜亞太電共頻共網 NCC將審查合作細項,https://news.cnyes.com/news/id/4460015
2020-04-01 15:34,基金開箱文》安聯台灣智慧基金 連贏十年的祕密,https://news.cnyes.com/news/id/4460031
2020-04-01 14:56,〈台股盤後〉連假前交投清淡 量縮震盪失守9700點,https://news.cnyes.com/news/id/4460014
2020-04-01 14:47,CCL廠聯茂估3月營收優 首季營收可望追上去年同期,https://news.cnyes.com/news/id/4459975
2020-04-01 14:43,3月台製造業PMI升至53.1% 未來半年展望續探底 看不到樂觀理由,https://news.cnyes.com/news/id/4459985
2020-04-01 14:36,〈車市〉3月掛牌數雙增 特斯拉交車量倍數成長 首度進前十大車商,https://news.cnyes.com/news/id/4459969
2020-04-01 14:30,川普政府狂撒錢！大摩示警：美財政赤字將達到二戰水平,https://news.cnyes.com/news/id/4459810
2020-04-01 14:27,美死亡人數恐上看24萬！道瓊期又殺近800點破21000點大關,https://news.cnyes.com/news/id/4459993
2020-04-01 14:08,日產九州工廠因員工肺炎確診停工 速霸陸也宣布停工計畫,https://news.cnyes.com/news/id/4459938
