時間,標題,連結
2024-10-01 23:04,美9月ISM製造業指數報47.2 連續第六個月萎縮,https://news.cnyes.com/news/id/5729072
2024-10-01 22:47,利多頻出 外資看好中國股市 貝萊德評級調高至超配,https://news.cnyes.com/news/id/5729151
2024-10-01 22:13,白宮稱伊朗準備對以色列發動彈道導彈襲擊 國際油價應聲飆近4%,https://news.cnyes.com/news/id/5729097
2024-10-01 22:07,大摩警告：川普關稅將導致美國每月流失7萬個職位,https://news.cnyes.com/news/id/5729106
2024-10-01 21:40,〈美股早盤〉市場靜待就業數據出爐 主要指數走低,https://news.cnyes.com/news/id/5729024
2024-10-01 21:11,印度iPhone零件廠火災生產中斷 蘋果可能轉向中國救急,https://news.cnyes.com/news/id/5729076
2024-10-01 21:07,阿波羅全球管理預期5年內年度收益達100億美元,https://news.cnyes.com/news/id/5729083
2024-10-01 20:57,〈財報〉需求復甦 香料製造商McCormick調升全年財測,https://news.cnyes.com/news/id/5729082
2024-10-01 20:48,強颱山陀兒來襲！台北股匯10/2休市一天 5檔除權息順延,https://news.cnyes.com/news/id/5729077
2024-10-01 20:47,臺慶科斥2.6億元增持SUPERWORLD股權 強化雙方產銷合作,https://news.cnyes.com/news/id/5729081
2024-10-01 20:39,交易商利用鮮為人知規則將美國石油偷樑換柱,https://news.cnyes.com/news/id/5729052
2024-10-01 20:38,鴻海科技日將展GB200量產版產品 預計11月生產、12月出貨,https://news.cnyes.com/news/id/5729067
2024-10-01 20:17,金管會：虛擬資產業者採登記制 未完成最重可處2年徒刑,https://news.cnyes.com/news/id/5728931
2024-10-01 20:09,中國電動車商「蔚小理」9月銷售成績亮眼 盤前股價齊走揚,https://news.cnyes.com/news/id/5729027
2024-10-01 20:03,鴻海科技日預計發表兩款電動車  Model D及電動小巴Model U將亮相,https://news.cnyes.com/news/id/5729062
2024-10-01 20:01,8月申購日元境外基金較去年底成長6 倍！富達提醒日元投資掌握2訣竅,https://news.cnyes.com/news/id/5729060
2024-10-01 19:38,9月我製造業PMI終結連4月擴張 未來半年展望轉緊縮,https://news.cnyes.com/news/id/5729053
2024-10-01 19:34,日元升、日股迎30年一遇盛景！法人建議內需與出口類股並重 加重4大題材,https://news.cnyes.com/news/id/5728533
2024-10-01 19:34,比亞迪9月銷售首次突破40萬輛車 刷新單月紀錄,https://news.cnyes.com/news/id/5729026
