時間,標題,連結
2020-08-01 16:35,三種時期爸爸責任大不同 保險怎麼保看過來,https://news.cnyes.com/news/id/4510440
2020-08-01 16:34,〈熱門股〉台達電財報法說報喜 睽違64個月重返200元,https://news.cnyes.com/news/id/4510436
2020-08-01 16:33,Fed利率不變、聯發科展望報佳音、台股衝新高 本周重要大事回顧,https://news.cnyes.com/news/id/4510438
2020-08-01 14:10,〈工業技術與資訊〉零接觸式商機持續發酵,https://news.cnyes.com/news/id/4510329
2020-08-01 14:03,大舉招兵買馬！馬斯克：特斯拉今年人力增聘35%,https://news.cnyes.com/news/id/4510419
2020-08-01 14:00,〈分析〉美元主導地位鬆動 但其他對手太弱不足以取而代之,https://news.cnyes.com/news/id/4510236
2020-08-01 12:50,抓到了！推特眾多名人帳戶遭入侵 駭客竟是一名17歲少年！,https://news.cnyes.com/news/id/4510420
2020-08-01 12:20,台積、三星領軍亞股連4個月收高 策略師：美元貶值將令漲勢延續,https://news.cnyes.com/news/id/4510425
2020-08-01 12:10,〈研之有物〉殷墟考古大發現！走進上古商王的洗澡間 青銅熱水器、去角質小道具,https://news.cnyes.com/news/id/4510333
2020-08-01 11:58,川普：將在美國禁用TikTok 最快周六宣布,https://news.cnyes.com/news/id/4510431
2020-08-01 11:50,有iPhone就能付款？蘋果斥資1億美元收購新創支付公司Mobeewave,https://news.cnyes.com/news/id/4510412
2020-08-01 11:40,不懼萬歲牌、義美夾殺 這位堅果大亨如何創造連9年營收雙位數增長？,https://news.cnyes.com/news/id/4510170
2020-08-01 11:32,〈熱門股〉譜瑞-KY今年可望賺四股本 周漲24%創新高,https://news.cnyes.com/news/id/4510429
2020-08-01 11:31,〈熱門股〉大同經營權白熱化 股價跌破20元寫近5個月新低,https://news.cnyes.com/news/id/4510427
2020-08-01 11:30,〈熱門股〉TPK-KY Q3旺季表現可期 股價攀近七個月新高,https://news.cnyes.com/news/id/4510407
2020-08-01 11:29,〈熱門股〉統一超Q2獲利5年同期新低 股價寫3個月新低價,https://news.cnyes.com/news/id/4510404
2020-08-01 11:28,黃金突破2000美元指日可待！股票、基金、ETF建議買進清單,https://news.cnyes.com/news/id/4510416
2020-08-01 11:27,〈熱門股〉欣興Q2獲利強 三大法人周買逾5萬張股價漲17%,https://news.cnyes.com/news/id/4510374
2020-08-01 11:20,四位身價上億企業家 為何聯手打造「含金量」超高單車俱樂部？,https://news.cnyes.com/news/id/4510167
2020-08-01 11:19,〈熱門股〉聯電8吋產能吃緊將漲價 股價攀逾13年新高,https://news.cnyes.com/news/id/4510342
2020-08-01 11:00,「郭台銘們」的夢魘！被迫在蘋果辦公室「指腹為婚」 立訊王來春剖析敵我優勢,https://news.cnyes.com/news/id/4510159
2020-08-01 10:12,又破紀錄！世衛：全球單日近30萬人染疫、美洲居冠,https://news.cnyes.com/news/id/4510417
2020-08-01 09:55,礦坑金絲雀 南韓7月出口年減7%沒有市場預估慘 ,https://news.cnyes.com/news/id/4510426
2020-08-01 09:27,又一特斯拉勁敵來了! 傳小鵬汽車正洽談3億美元融資、將赴美IPO,https://news.cnyes.com/news/id/4510413
2020-08-01 08:04,微軟將收購TikTok？雙方傳洽商多時 川普不排除封殺app,https://news.cnyes.com/news/id/4510410
2020-08-01 07:33,疫情太燒錢？惠譽因財政惡化下調美國評級展望,https://news.cnyes.com/news/id/4510421
2020-08-01 06:46,中芯國際擬建北京合資廠 發展28奈米製程作業,https://news.cnyes.com/news/id/4510396
2020-08-01 06:38,〈美股盤後〉蘋果漲10%重登全球市值一哥 美股最後1小時逆轉勝、月線連4紅,https://news.cnyes.com/news/id/4510409
2020-08-01 06:20,〈能源盤後〉原油本月溫和上漲 市場準備迎接OPEC+增產,https://news.cnyes.com/news/id/4510414
2020-08-01 06:13,〈紐約匯市〉美元創下10年來最大單月跌幅4% 歐元走軟,https://news.cnyes.com/news/id/4510411
2020-08-01 05:36,〈貴金屬盤後〉黃金再創新高 本月漲幅創8年最大 可能進入鞏固期,https://news.cnyes.com/news/id/4510415
2020-08-02 18:50,〈觀察〉上半年GDP勉強守正股市靠資金面獨撐 留意反轉風險,https://news.cnyes.com/news/id/4510501
2020-08-02 17:00,〈觀察〉資料中心、5G基站耗電增 電源廠扮要角身價水漲船高,https://news.cnyes.com/news/id/4510469
2020-08-02 16:40,〈觀察〉不只純網銀要來 電支電票整合可望變身「微銀行」,https://news.cnyes.com/news/id/4510499
2020-08-02 16:00,〈觀察〉沖壓件廠提升競爭力 擴廠與購併進行中,https://news.cnyes.com/news/id/4510449
2020-08-02 15:30,〈觀察〉零售業走向資本化 全聯、富邦媒二大巨獸各踞山頭,https://news.cnyes.com/news/id/4510448
2020-08-02 14:33,南港輪胎新豐廠昨深夜起火 營運未受影響,https://news.cnyes.com/news/id/4510494
2020-08-02 14:32,鴻海子公司肚肚再加碼千台iPad 助餐飲業搶復甦商機,https://news.cnyes.com/news/id/4510493
2020-08-02 14:30,〈觀察〉上半年基期墊高 記憶體廠旺季看法審慎,https://news.cnyes.com/news/id/4510443
2020-08-02 14:10,〈工業技術與資訊〉科技助力與自然和諧共存,https://news.cnyes.com/news/id/4510330
2020-08-02 12:34,晶電、隆達將通過合資控股案 換股上市前營運均可望轉佳,https://news.cnyes.com/news/id/4510490
2020-08-02 12:16,蘋概雙王營收、科技大廠法說、7月出口統計 本周大事預告,https://news.cnyes.com/news/id/4510477
2020-08-02 12:15,重大傷病健康險不只補醫療資金缺口 身體健康還可省保費,https://news.cnyes.com/news/id/4510472
2020-08-02 12:14,光通訊400G產品逐步放量 最快明年超越100G,https://news.cnyes.com/news/id/4510465
2020-08-02 12:13,〈台股風向球〉資金狂潮未退前 個股上演接力賽,https://news.cnyes.com/news/id/4510457
2020-08-02 12:10,大型數據中心散熱需求夯 廣運及高力出貨在即 將挹注今年營收,https://news.cnyes.com/news/id/4510455
2020-08-02 12:07,疫情傷業績 信用卡轉戰國旅內需主打高回饋率求突圍,https://news.cnyes.com/news/id/4510452
2020-08-02 12:07,台快篩試劑廠研發有斬獲 上市銷售差最後一哩路,https://news.cnyes.com/news/id/4510444
2020-08-02 12:05,疫情害股利縮水 靠三招投資策略放大存股,https://news.cnyes.com/news/id/4510442
2020-08-02 12:03,台灣中油：明(3)日起國內汽、柴油價格各調漲0.1元,https://news.cnyes.com/news/id/4510478
