時間,標題,連結
2023-08-01 23:53,美6月JOLTS職位空缺數降至958.2萬 創逾兩年來新低,https://news.cnyes.com/news/id/5271177
2023-08-01 23:20,佳世達集團資源整合 友通出售子公司Brainstorm予邁達特,https://news.cnyes.com/news/id/5271194
2023-08-01 22:37,融程電Q2每股賺1.96元 上半年EPS 3.46元雙創同期高,https://news.cnyes.com/news/id/5271179
2023-08-01 22:24,美7月ISM製造業指數報46.4不及預期 連續第九個月萎縮,https://news.cnyes.com/news/id/5271152
2023-08-01 21:52,〈美股早盤〉投資人靜待美製造業等經濟數據出爐 主要指數漲跌互現,https://news.cnyes.com/news/id/5271012
2023-08-01 21:15,美國NHTSA著手調查28萬輛特斯拉電動車方向盤失能問題,https://news.cnyes.com/news/id/5271131
2023-08-01 21:02,成本侵蝕收益 挪威郵輪預測第3季獲利低於預期,https://news.cnyes.com/news/id/5271132
2023-08-01 20:52,印度要求特斯拉比照蘋果作法 選定當地企業引入中國供應鏈,https://news.cnyes.com/news/id/5271133
2023-08-01 20:41,〈財報〉尼古丁袋需求高 奧馳亞上季業績超過預期,https://news.cnyes.com/news/id/5271134
2023-08-01 20:31,〈財報〉新冠疫苗與藥物銷售暴跌 輝瑞Q2營收年減逾5成,https://news.cnyes.com/news/id/5271023
2023-08-01 20:23,〈財報〉趨勢轉向國際旅遊+結束美航聯盟關係 捷藍航空大降財測,https://news.cnyes.com/news/id/5271126
2023-08-01 20:09,富邦媒攻直播電商版圖 官方主題直播頻道9月上線,https://news.cnyes.com/news/id/5271115
2023-08-01 19:59,〈財報〉叫車需求強勁 Uber上季史上首度獲利 調升第3季財測,https://news.cnyes.com/news/id/5271091
2023-08-01 19:51,合庫金更換法人代表 董瑞斌將出任金控董座,https://news.cnyes.com/news/id/5271114
2023-08-01 19:50,〈車市〉三陽連15個月銷售居機車之冠 市占首度突破4字頭,https://news.cnyes.com/news/id/5271103
2023-08-01 19:50,鉅亨美股雷達：市場關注各項經濟數據 威騰電子本季財測不佳,https://news.cnyes.com/news/id/5270753
2023-08-01 19:47,〈財報〉抗癌藥物與HPV疫苗助攻 默沙東Q2營收佳、上調全年財測,https://news.cnyes.com/news/id/5271018
2023-08-01 19:39,〈車市〉HYUNDAI罕見擠進銷售前5名 成新黑馬,https://news.cnyes.com/news/id/5270993
2023-08-01 19:27,〈環球晶法說〉徐秀蘭：今年營收估持平至小幅成長 明年重返季增、年增軌道,https://news.cnyes.com/news/id/5271093
2023-08-01 19:21,〈財報〉無視景氣看空 開拓重工上季業績超過預期,https://news.cnyes.com/news/id/5271092
2023-08-01 19:20,啟基、星通、訊連，AI題材進入整理，資金流向哪？,https://news.cnyes.com/news/id/5270627
2023-08-01 19:12,〈台幣〉外資逃走中 新台幣放量貶破31.5元價位 創9個月來新低,https://news.cnyes.com/news/id/5271022
2023-08-01 19:11,新漢智能結盟NTT DATA 合攻全球智慧製造市場,https://news.cnyes.com/news/id/5271025
2023-08-01 19:11,長聖細胞委託製造穩定成長 前7月營收創新高,https://news.cnyes.com/news/id/5271037
2023-08-01 19:10,矽格Q2純益季增128% 上半年EPS 1.62元,https://news.cnyes.com/news/id/5271019
2023-08-01 19:10,AI泡沫化隱憂 林百里：仍看好應用 股價是別人決定,https://news.cnyes.com/news/id/5271021
2023-08-01 19:03,毅嘉7月營收登全年最高 累計47.7億元創9年高,https://news.cnyes.com/news/id/5271020
2023-08-01 19:02,新唐Q2純益季減34% EPS 1.05元下探9季新低,https://news.cnyes.com/news/id/5271014
