時間,標題,連結
2024-08-01 23:30,美7月ISM製造業指數連四降至46.8 創8個月新低,https://news.cnyes.com/news/id/5660228
2024-08-01 22:50,美國7月裁員人數年增9% 招聘計畫降至2012年以來新低,https://news.cnyes.com/news/id/5660238
2024-08-01 22:20,美上周初領失業金人數飆升至24.9萬 創近一年新高,https://news.cnyes.com/news/id/5660200
2024-08-01 21:44,華新科Q2純益季增6成EPS 2.07元 再買晶技3607張,https://news.cnyes.com/news/id/5660236
2024-08-01 21:41,〈美股早盤〉降息希望提振 主要指數開高 Meta漲近8%,https://news.cnyes.com/news/id/5660108
2024-08-01 21:40,〈台達電法說〉Q3旺季營運向上Q4估持穩 AI電源下半年出貨續強全年倍增,https://news.cnyes.com/news/id/5660212
2024-08-01 21:06,專家：Fed釋出9月降息訊號 標普500指數5天內看漲5%,https://news.cnyes.com/news/id/5660190
2024-08-01 20:47,紅海航線中斷提振獲利 馬士基再上調全年財測,https://news.cnyes.com/news/id/5660191
2024-08-01 20:32,〈財報〉阿茲海默等新藥Q2銷售給力 百健上調全年獲利預期,https://news.cnyes.com/news/id/5660111
2024-08-01 20:31,利變型保單買氣熱 金管會5點提醒：宣告利率不等於投報率,https://news.cnyes.com/news/id/5660163
2024-08-01 20:22,〈財報〉高售價傷害需求 好時下修全年財測,https://news.cnyes.com/news/id/5660184
2024-08-01 20:18,鉅亨速報 - Factset 最新調查：高通(QCOM-US)EPS預估上修至10.07元，預估目標價為214.50元,https://news.cnyes.com/news/id/5660188
2024-08-01 20:15,〈財報〉產品線擴大+個性化需求 法拉利調升全年營收財測,https://news.cnyes.com/news/id/5660114
2024-08-01 20:12,〈台達電法說〉二度下修電動車事業全年展望 成長率降至2成以下,https://news.cnyes.com/news/id/5660180
2024-08-01 20:11,〈財報〉原油產量和價格都上揚 康菲石油上季獲利超出預期,https://news.cnyes.com/news/id/5660115
2024-08-01 20:04,〈財報〉CrowdStrike當機衝擊 精神航空預測第3季營收低於預期,https://news.cnyes.com/news/id/5660145
2024-08-01 19:59,〈財報〉非冬季服飾需求強勁 加拿大鵝上季營收超出預期,https://news.cnyes.com/news/id/5660146
2024-08-01 19:54,〈財報〉需求疲軟重創上季業績 Mobileye下調全年財測,https://news.cnyes.com/news/id/5660110
2024-08-01 19:40,M31攜手高塔半導體 開發65奈米記憶體解決方案,https://news.cnyes.com/news/id/5660147
2024-08-01 19:28,十銓Q2雙率降EPS 1.83元 上半年合計5.93元仍創同期高,https://news.cnyes.com/news/id/5660100
2024-08-01 19:23,逾4年來首次！英國央行降息1碼 利率降至5%,https://news.cnyes.com/news/id/5660112
2024-08-01 19:22,鑽石投資新任董座出爐 由台大前校長楊泮池接任,https://news.cnyes.com/news/id/5660109
2024-08-01 19:04,新手看價 該買該賣? 降息預期 股債雙贏陳智霖: 00937B、00720B、00751B、00687B、保瑞、美時、森崴能源、大亞、台積電,https://news.cnyes.com/news/id/5659704
2024-08-01 19:01,聯準會9月可望降息 鉅亨買基金：無論降息與否 美股都是贏家,https://news.cnyes.com/news/id/5660101
2024-08-01 19:01,〈財報〉歐盟疫苗營收偏低 莫德納下修全年銷售財測,https://news.cnyes.com/news/id/5660096
2024-08-01 18:51,〈台幣〉Fed降息有譜 連3升收32.762元 登近2周高點,https://news.cnyes.com/news/id/5659897
2024-08-01 18:50,〈中經院發布PMI〉美國大選變數 台灣7月PMI續下滑1.5個百分點 連3個月呈擴張,https://news.cnyes.com/news/id/5659706
2024-08-01 18:46,〈財報〉二手車轉至網購 Carvana調升全年核心獲利財測,https://news.cnyes.com/news/id/5660095
2024-08-01 18:30,長聖7月營收寫新高 攜手美商合資公司搶攻900億美元幹細胞商機,https://news.cnyes.com/news/id/5659901
2024-08-01 18:30,歐盟批准惠普企業140億美元收購Juniper案,https://news.cnyes.com/news/id/5659863
2024-08-01 18:29,橋椿上半年財報獲利大增4.99倍 EPS達1.79元,https://news.cnyes.com/news/id/5659861
2024-08-01 18:28,〈財報〉德國默克半導體業務改善優於預期 調升電子產品財測,https://news.cnyes.com/news/id/5659862
2024-08-01 18:28,投資人評估利率前景 美債殖利率大跌,https://news.cnyes.com/news/id/5659860
