時間,標題,連結
2024-11-01 23:44,美10月ISM製造業指數降至46.5 創15個月新低,https://news.cnyes.com/news/id/5761316
2024-11-01 21:43,〈美股早盤〉主要指數開高 亞馬遜股價開盤漲逾6%,https://news.cnyes.com/news/id/5761168
2024-11-01 21:07,〈財報〉成本降+需求穩 Dominion Energy上季獲利超出預期,https://news.cnyes.com/news/id/5761283
2024-11-01 20:55,〈財報〉寬頻客戶流失少於預期 Charter Communications上季業績超標,https://news.cnyes.com/news/id/5761281
2024-11-01 20:49,颶風、波音工人罷工影響 美10月非農就業僅新增1.2萬人,https://news.cnyes.com/news/id/5761169
2024-11-01 20:45,〈財報〉諮詢費用上升 T Rowe Price上季獲利躍升,https://news.cnyes.com/news/id/5761282
2024-11-01 20:41,櫃買走過30年！董座簡立忠：成功協助逾2500家企業走進資本市場,https://news.cnyes.com/news/id/5761235
2024-11-01 20:38,歌爾微赴港掛牌有譜 傳母公司歌爾聲學選定合作銀行,https://news.cnyes.com/news/id/5761236
2024-11-01 20:35,其陽Q3純益創7季高 前三季EPS 0.66元超車去年整年,https://news.cnyes.com/news/id/5761268
2024-11-01 20:09,比亞迪10月銷售逾50萬輛車 創歷史新高,https://news.cnyes.com/news/id/5761175
2024-11-01 20:00,中經院10月PMI微升至50  終端需求未現全面且中長期訂單,https://news.cnyes.com/news/id/5761225
2024-11-01 19:50,出口疲軟拖累 日本罕見再下修2024財年GDP預測,https://news.cnyes.com/news/id/5761173
2024-11-01 19:48,達方前三季EPS1.82元 與元山換股合作案暫緩,https://news.cnyes.com/news/id/5761234
2024-11-01 19:32,〈台北金融科技展〉華南金「AI魔法學院」5力全開好吸金  歡迎體驗魔法掃帚、占卜財富運勢,https://news.cnyes.com/news/id/5761155
2024-11-01 19:31,亞培在新生兒配方奶粉訴訟中獲判免責,https://news.cnyes.com/news/id/5761222
2024-11-01 19:25,美股風雨交加 鉅亨買基金：善用修正機會 用超底王參與行情,https://news.cnyes.com/news/id/5761221
2024-11-01 19:17,〈財報〉收購案挹注 埃克森美孚獲利超出預期 調升股利,https://news.cnyes.com/news/id/5761171
2024-11-01 19:10,〈台北金融科技展〉玉山創新智能金融體驗 首度展出大型語言模型,https://news.cnyes.com/news/id/5761170
2024-11-01 19:03,〈台北金融科技展〉新光金金融創新三大主軸 新壽秀AI超能夥伴,https://news.cnyes.com/news/id/5761154
2024-11-01 18:58,一年過去 英特爾自豪的AI晶片銷售慘澹,https://news.cnyes.com/news/id/5761151
2024-11-01 18:53,TPK-KY Q3稅後純益2億元 季減逾四成 EPS 0.49元,https://news.cnyes.com/news/id/5761082
