時間,標題,連結
2023-11-01 23:30,美9月JOLTS職位空缺超預期升至955.3萬 連兩個月成長,https://news.cnyes.com/news/id/5363739
2023-11-01 23:29,聚陽Q3賺逾半股本EPS 5.47元 前三季每股賺12.72元同創最佳,https://news.cnyes.com/news/id/5363752
2023-11-01 23:28,研華估Q4營運持穩 明年先蹲後跳營收可望重返成長,https://news.cnyes.com/news/id/5363740
2023-11-01 22:58,美股10月表現最佳和最差個股大點名,https://news.cnyes.com/news/id/5363753
2023-11-01 22:44,〈財報〉累計消費客戶逾2億 瑞幸咖啡上季營收成長逾8成,https://news.cnyes.com/news/id/5363748
2023-11-01 22:40,Meta定向廣告在歐洲遭禁 違規恐受全球營收4%天價罰款,https://news.cnyes.com/news/id/5363680
2023-11-01 22:01,〈美股早盤〉Fed利率決策將揭曉 美放慢長債發售殖利率走低 主要指數開高,https://news.cnyes.com/news/id/5363605
2023-11-01 21:59,〈台達電法說〉Q4營運估持平上季 明年各事業都會成長,https://news.cnyes.com/news/id/5363629
2023-11-01 21:58,鴻華先進預計11/20創新板掛牌上市,https://news.cnyes.com/news/id/5363692
2023-11-01 21:17,〈財報〉必勝客美國銷售遲緩 拖累百勝餐飲上季營收,https://news.cnyes.com/news/id/5363684
2023-11-01 21:00,IDC：中國智慧手機市場有望在第四季迎來拐點,https://news.cnyes.com/news/id/5363652
2023-11-01 20:57,美國財政部詳述發債計畫 並說明如何應對債務負擔和高利率,https://news.cnyes.com/news/id/5363679
2023-11-01 20:42,美10月ADP新增就業11.3萬人低預期 薪資增速降至兩年來最低,https://news.cnyes.com/news/id/5363673
2023-11-01 20:39,日本當局警告干預匯市 日元從一年低點上漲,https://news.cnyes.com/news/id/5363672
2023-11-01 20:38,〈財報〉售價上漲抑制消費 卡夫亨氏上季營收未達分析師預期,https://news.cnyes.com/news/id/5363615
2023-11-01 20:38,〈財報〉中國復甦不定 加拿大鵝調降全年銷售財測,https://news.cnyes.com/news/id/5363616
2023-11-01 20:30,比亞迪官宣5款車型優惠 王傳福曾表示未來3-5年會打價格戰,https://news.cnyes.com/news/id/5363651
2023-11-01 20:19,外資再棄守鴻海出脫逾1.1萬張 調節面板雙虎,https://news.cnyes.com/news/id/5363674
2023-11-01 20:15,〈財報〉亞洲旅遊零售復甦緩慢 雅詩蘭黛調降全年獲利財測,https://news.cnyes.com/news/id/5363617
2023-11-01 20:15,〈財報〉政府健保方案會員數大增 Humana重申全年獲利財測不變,https://news.cnyes.com/news/id/5363668
