時間,標題,連結
2023-10-01 21:50,本週操盤筆記：美國9月非農、ISM製造業指數、Fed官員談話,https://news.cnyes.com/news/id/5337201
2023-10-01 18:00,台股技術線型偏空 Q4外部三大變數壟罩,https://news.cnyes.com/news/id/5336632
2023-10-01 15:00,明達醫八德廠拚明年動工 私募案目標年底定案,https://news.cnyes.com/news/id/5336354
2023-10-01 14:00,退休理財不中斷 銀行推可攜式退休信託帳戶,https://news.cnyes.com/news/id/5336564
2023-10-01 13:46,〈觀察〉散熱長期需求看俏 零組件廠競相跨足布局,https://news.cnyes.com/news/id/5337167
2023-10-01 13:00,晶技寧波車載產品專廠即將投產 估提升明年營收占比到20%,https://news.cnyes.com/news/id/5336563
2023-10-01 12:00,〈台股風向球〉中秋變盤向上迎來光輝10月？,https://news.cnyes.com/news/id/5337243
2023-10-01 09:10,英特爾推AI PC博翻身，邊緣運算將大爆發，宏碁 華碩 鎖定換機潮,https://news.cnyes.com/news/id/5335664
2023-10-01 05:05,蘋果承認iPhone 15過熱問題 將盡快更新iOS 17,https://news.cnyes.com/news/id/5337213
2023-10-02 23:33,美9月ISM製造業指數升至49 創去年11月以來新高,https://news.cnyes.com/news/id/5337868
2023-10-02 22:31,華碩正式承接英特爾NUC產品線 負責未來產品設計開發,https://news.cnyes.com/news/id/5337867
2023-10-02 22:30,友達收購BHTC強化智慧座艙系統整合 全球製造布局同步到位,https://news.cnyes.com/news/id/5337857
2023-10-02 22:20,艾克曼：美國經濟開始放緩 Fed可能已完成升息,https://news.cnyes.com/news/id/5337840
2023-10-02 21:49,〈美股早盤〉美債殖利率攀升、市場聚焦Fed主席鮑爾談話 主要指數漲跌互現,https://news.cnyes.com/news/id/5337807
2023-10-02 21:20,工廠停工升級設備 特斯拉第3季總產量和交車數大幅低於預期,https://news.cnyes.com/news/id/5337850
2023-10-02 21:00,NHTSA升級對福特70.8萬輛SUV和卡車調查 下一步可能要求召回維修,https://news.cnyes.com/news/id/5337836
2023-10-02 20:43,友達斥204億元收購德商BHTC 預計明年上半年完成交割,https://news.cnyes.com/news/id/5337845
2023-10-02 20:38,Coinbase喜獲新加坡支付許可證 盤前股價漲逾5%,https://news.cnyes.com/news/id/5337813
2023-10-02 20:38,借貸成本增幅近20年新高 高盛：高利率開始傷及企業獲利,https://news.cnyes.com/news/id/5337837
2023-10-02 20:38,中國恒大及恒大物業明日復牌：無其他內幕消息,https://news.cnyes.com/news/id/5337839
2023-10-02 20:20,德國勃肯鞋擬在紐約IPO 鎖定估值92億美元,https://news.cnyes.com/news/id/5337835
2023-10-02 20:13,沙烏地阿美擬擴大液化天然氣公司收購 滿足激增需求,https://news.cnyes.com/news/id/5337815
2023-10-02 19:46,中鋼開發極薄馬達電磁鋼片 無人機國產化突破瓶頸,https://news.cnyes.com/news/id/5337825
2023-10-02 19:40,勞動基金8月虧損480億元 料Q4好轉,https://news.cnyes.com/news/id/5337823
2023-10-02 19:40,美國FDA拒絕批准禮來公司治療異位性皮膚炎藥物,https://news.cnyes.com/news/id/5337822
2023-10-02 19:39,美國第3季新車銷售可能上揚 但UAW罷工可能造成明顯影響,https://news.cnyes.com/news/id/5337824
2023-10-02 19:30,日銀宣布額外債券購買操作 抑止殖利率攀升,https://news.cnyes.com/news/id/5337811
2023-10-02 19:20,〈房產〉房仲全聯會邁入成立第29年 王瑞祺接任第10屆理事長,https://news.cnyes.com/news/id/5337821
2023-10-02 19:20,AI果然再創短波新高，拉回偏多布局!!,https://news.cnyes.com/news/id/5337793
