時間,標題,連結
2024-07-01 23:12,美6月ISM製造業指數連三降至48.5 價格指數觸及6個月低點,https://news.cnyes.com/news/id/5621408
2024-07-01 22:20,羅賓漢收購AI研究平台Pluto 強化用戶投資策略與分析服務,https://news.cnyes.com/news/id/5621360
2024-07-01 21:59,中國新能源車企6月成績單出爐 理想汽車重登新勢力王座,https://news.cnyes.com/news/id/5621372
2024-07-01 21:50,〈美股早盤〉主要指數漲跌互現 市場聚焦就業數據出爐,https://news.cnyes.com/news/id/5621270
2024-07-01 21:24,必治妥施貴寶支付270萬美元和解以色列競爭主管機關控訴,https://news.cnyes.com/news/id/5621358
2024-07-01 21:10,比亞迪Q2銷售近百萬輛電動車 創歷史新高,https://news.cnyes.com/news/id/5621344
2024-07-01 20:55,上半年美國激進投資客大舉發難 但成果有限,https://news.cnyes.com/news/id/5621313
2024-07-01 20:32,Meta廣告版訂閱服務 遭歐盟指控違反反壟斷法,https://news.cnyes.com/news/id/5621271
2024-07-01 20:06,台新金高層異動！林淑真接任銀行總座 林維俊兼任人壽董座,https://news.cnyes.com/news/id/5621324
2024-07-01 20:05,鴻海第二屆董辦實習生擴大舉辦 報名人數增4成錄取率2%,https://news.cnyes.com/news/id/5621323
2024-07-01 19:51,鈷價低迷之際 避險基金紛紛開始囤貨,https://news.cnyes.com/news/id/5621282
2024-07-01 19:37,環泥旗下環球石膏板 取得碳標籤認證,https://news.cnyes.com/news/id/5621315
2024-07-01 19:30,SCFI指數連漲12周 上海到荷蘭海運價格半年漲近7倍,https://news.cnyes.com/news/id/5621226
2024-07-01 19:30,台股富酬者聯盟，AI最強戰力集結!!特別是這族群的「他」將成為最強數字精品股!!,https://news.cnyes.com/news/id/5620984
2024-07-01 19:27,馬士基退出競購德國物流巨擘DB Schenker,https://news.cnyes.com/news/id/5621281
2024-07-01 19:25,全球股票型ETF淨流入148億美元  亞洲與中國獲挹注81、60億美元,https://news.cnyes.com/news/id/5621265
2024-07-01 19:15,轉換炒作標的 「咆哮小貓」吉爾揭露持有Chewy 6.6%股份,https://news.cnyes.com/news/id/5621268
2024-07-01 19:14,外資賣超65億元針對ETF換股操作 買超00940逾10萬張最多,https://news.cnyes.com/news/id/5621280
2024-07-01 19:04,台積電斥資7億元 取得台灣力森諾科寶山廠房,https://news.cnyes.com/news/id/5621269
2024-07-01 19:04,專注於AI的科技公司6月市值大躍進,https://news.cnyes.com/news/id/5621267
2024-07-01 19:01,鴻海、聯電等15檔明除息 大盤估蒸發38.57點,https://news.cnyes.com/news/id/5621266
2024-07-01 19:00,蔡明彰觀點：川普風險來了 下半年股市主流要大換血？,https://news.cnyes.com/news/id/5620816
2024-07-01 18:52,希捷任命 Futoshi Niizuma擔任亞太及日本區業務副總裁,https://news.cnyes.com/news/id/5621264
2024-07-01 18:49,鉅亨買基金推出「夯股基金」新功能 不漏接熱門趨勢財,https://news.cnyes.com/news/id/5621263
2024-07-01 18:47,亞馬遜退出貝佐斯資助的碳抵消標準,https://news.cnyes.com/news/id/5621242
2024-07-01 18:47,日元創新低已難提振日股 嘉盛：日股不再是優等生,https://news.cnyes.com/news/id/5621227
2024-07-01 18:46,高息ETF 00944首次配息0.058元 7/15前上車  8/9領配息,https://news.cnyes.com/news/id/5621244
2024-07-01 18:44,富達投資展望：美日企業基本面上修  有利風險性資產,https://news.cnyes.com/news/id/5621225
2024-07-01 18:39,〈台幣〉股匯脫鉤 外資擴大匯出重貶近1角收32.546元,https://news.cnyes.com/news/id/5621243
2024-07-01 18:38,〈房產〉北市住都中心攜手品佳資產  合作士林松柏大厦公辦都更案,https://news.cnyes.com/news/id/5621228
2024-07-01 18:36,南亞科攜手供應鏈 向中美晶簽署4億度綠電採購協議,https://news.cnyes.com/news/id/5621224
2024-07-01 18:34,東哥遊艇第三組裝工廠動土 明年完工 產能將增5成,https://news.cnyes.com/news/id/5621223
2024-07-01 18:32,電支龍頭街口支付正式開通TWQR購物功能 可綁信用卡,https://news.cnyes.com/news/id/5621164
2024-07-01 18:28,特斯拉交車數將連續兩季下跌,https://news.cnyes.com/news/id/5621241
2024-07-01 18:23,谷歌投資貝萊德台灣太陽能開發商 供當地雲端及AI使用,https://news.cnyes.com/news/id/5621222
2024-07-01 18:00,高盛：對沖基金快速拋售科技股 散戶繼續買進,https://news.cnyes.com/news/id/5621165
2024-07-01 17:54,迅得上半年營收25.23億元年減2成  期待半導體設備加速挹注,https://news.cnyes.com/news/id/5621166
2024-07-01 17:50,台灣6月PMI指數回跌至53.7% 新增訂單、生產擴張趨緩,https://news.cnyes.com/news/id/5621162
2024-07-01 17:48,等待本周經濟數據 10年期美債殖利率勁揚,https://news.cnyes.com/news/id/5621163
2024-07-01 17:40,魏寶生出任新光金董座 延續現增規劃力拚新壽RBC達標,https://news.cnyes.com/news/id/5621077
2024-07-01 17:38,科技業年薪破百是標配？除非是「四中四大」大部分月薪4-6萬,https://news.cnyes.com/news/id/5621062
2024-07-01 17:20,日本土地價格漲超2% 全年漲幅創紀錄新高,https://news.cnyes.com/news/id/5620909
2024-07-01 17:14,〈碳權交易〉碳交易辦法8/15上路  9月底上架完成國內碳權首筆交易,https://news.cnyes.com/news/id/5620983
2024-07-01 17:09,傳奇投資人羅傑斯示警：烏克蘭衝突正拖慢歐盟的經濟發展,https://news.cnyes.com/news/id/5621002
2024-07-01 17:03,〈房產〉買氣穩健 全台六都上半年交易量年增27.6% 創11年新高,https://news.cnyes.com/news/id/5621004
2024-07-01 16:57,生技領櫃買創高，專業分析師早規畫三重點卡位: 保瑞、美時、台達電、中興電、倉和、台勝科、創意,https://news.cnyes.com/news/id/5621005
2024-07-01 16:56,川普民調領先對誰有利？線上演講會所說的預告將一一兌現,https://news.cnyes.com/news/id/5621006
2024-07-01 16:50,Nationwide：英國房價連兩個月上漲 優於預期,https://news.cnyes.com/news/id/5620892
2024-07-01 16:37,無廣告訂閱制遭盯上！金融時報：歐盟本周將對Meta發起反壟斷訴訟,https://news.cnyes.com/news/id/5620895
2024-07-01 16:32,台股拉高後回最終收盤26.32點，持續量縮下多方無力攻堅向上？誰要當上攻的領頭羊？,https://news.cnyes.com/news/id/5620999
2024-07-01 16:30,〈陸港盤後〉中國6月製造業景氣持續上升 A股漲跌互見,https://news.cnyes.com/news/id/5620750
2024-07-01 16:27,台泥發表首份永續及氣候相關財報 提前接軌國際永續財務準則,https://news.cnyes.com/news/id/5620976
2024-07-01 16:26,永信上半年營收年增1.34倍 下半年還有仁武及鳳山建案完工銷售,https://news.cnyes.com/news/id/5620910
2024-07-01 16:24,凱基銀推出業界首張雙幣哩程卡 18元累積1哩 4大平台皆可兌換,https://news.cnyes.com/news/id/5620894
2024-07-01 16:21,〈車市〉納智捷n7試駕預約爆滿 看「軟體定義汽車」時代來臨,https://news.cnyes.com/news/id/5620956
2024-07-01 16:20,波音宣布以47億美元股票收購Spirit AeroSystems,https://news.cnyes.com/news/id/5620877
2024-07-01 16:18,亞泰金屬2元股息訂7/18除息 手中訂單直透明年底,https://news.cnyes.com/news/id/5620920
2024-07-01 16:16,第一銀行勇奪2024年國家品牌玉山獎 9 項大獎,https://news.cnyes.com/news/id/5620896
2024-07-01 16:06,歐股財報季將開跑 但法大選結果、歐中貿易爭端令企業前景蒙陰影,https://news.cnyes.com/news/id/5620893
2024-07-01 15:50,高盛：生成式AI將重塑線上消費 雲端供應商是早期受惠者,https://news.cnyes.com/news/id/5620813
2024-07-01 15:19,元富投顧研報盈餘預估準確 連4年蟬聯第一,https://news.cnyes.com/news/id/5620879
2024-07-01 15:15,法國能否組建「反極右」聯盟成關鍵！一文讀懂：法國政局接下來會如何發展？,https://news.cnyes.com/news/id/5620880
2024-07-01 15:10,中國中信證券：人行可能近期在公開市場賣出國債,https://news.cnyes.com/news/id/5620874
2024-07-01 15:06,Prada今年H1股價漲幅居奢侈品族群之冠 最慘是「它」崩逾38%,https://news.cnyes.com/news/id/5620413
2024-07-01 15:01,台股震盪整盤 三大法人賣超43.95億 ,https://news.cnyes.com/news/id/5620891
2024-07-01 15:00,中國基金經理人離職人數 衝上9年新高,https://news.cnyes.com/news/id/5620811
2024-07-01 14:40,法國第一輪選舉後歐元上漲 日元仍受困38年低點,https://news.cnyes.com/news/id/5620833
2024-07-01 14:27,市值營收比策略 找到基本面增長且技術面多頭排列的選股方法,https://news.cnyes.com/news/id/5620857
2024-07-01 14:20,〈宜鼎二廠啟用〉董座：打造AI生產核心基地 已規劃三廠預留地,https://news.cnyes.com/news/id/5620812
2024-07-01 14:11,〈台股盤後〉高價股帶衰漲幅 靠電子權值股小漲26點收23058點,https://news.cnyes.com/news/id/5620828
2024-07-01 14:10,南韓出口加速成長 半導體銷售創新紀錄,https://news.cnyes.com/news/id/5620798
2024-07-01 14:00,美日韓舉行聯合軍演 北韓批三方已經是「亞洲版北約」,https://news.cnyes.com/news/id/5620358
2024-07-01 13:59,〈宜鼎二廠啟用〉今年AI開案量大增2-3成 跨入MGX訓練機種,https://news.cnyes.com/news/id/5620797
2024-07-01 13:58,外資點名8檔「成長型高股息」個股標的 0056占6檔最高,https://news.cnyes.com/news/id/5620795
2024-07-01 13:57,〈勞動基金績效〉台股「積」情 5 月轉盈大賺1513億 前5月收益率近10％ 6月可望續成長,https://news.cnyes.com/news/id/5620787
2024-07-01 13:55,毛利率勝LV！攜程市值半年增千億超過百度 但專家直指一大隱憂,https://news.cnyes.com/news/id/5620414
2024-07-01 13:50,將來銀激推活、定存10%超殺優利 等同一般活存14倍利,https://news.cnyes.com/news/id/5620784
2024-07-01 13:40,中國又一造車新勢力陷絕境 合創汽車遭員工「維權」,https://news.cnyes.com/news/id/5620790
2024-07-01 13:05,〈ETF成分股調整〉首檔上櫃ESG股票型ETF 00928新增3檔：穩懋、廣明、萬潤,https://news.cnyes.com/news/id/5620783
2024-07-01 11:51,AI狂潮催動 上半年台股大漲28% 全亞洲第一 台積電狂飆63%,https://news.cnyes.com/news/id/5620720
2024-07-01 11:47,拜登與川普舉行首次辯論，大家對拜登的表現大失所望，川普贏定了嗎？,https://news.cnyes.com/news/id/5620746
2024-07-01 11:46,連三月走強！標普台灣製造業PMI創兩年多新高 通膨壓力加劇是隱憂,https://news.cnyes.com/news/id/5620693
2024-07-01 11:42,集保結算所股東會視訊會議平台再創新高 109家公司完成召開,https://news.cnyes.com/news/id/5620730
2024-07-01 11:38,〈焦點股〉金融股迎除息行情 富邦金重登80關 新光金光復票面價,https://news.cnyes.com/news/id/5620706
